,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
57,2014-02-04,0.020618955,0.023930559,0.02743113,0.029347705,0.033439558,0.032617006,0.034292184,0.03628774,0.034062564,0.035049077,0.0382007,0.038794518,0.021635035,0.023639364,0.026363507,0.028159697,0.02977339,0.03143852,0.031014515,0.030689938,0.028653927,0.030899866,0.030307291,0.03799129,0.023830011,0.02530279,0.024986666,0.027053695,0.03209871,0.030241566,0.026707094,0.026007991,0.024606537,0.027848681,0.028956288,0.034058396,0.028185291,0.028152425,0.030029029,0.029578052,0.030993491,0.028349472,0.026945736,0.026623737,0.024313392,0.026069585,0.028976299,0.031199977,0.027524708,0.030497408,0.034379747,0.030697297,0.02948928,0.024438653,0.024958337,0.025014147,0.023856437,0.026166221,0.029006835,0.031406377,0.028775036,0.034503743,0.036990248,0.033002358,0.026314072,0.023788355,0.02211754,0.025738489,0.02406946,0.024238383,0.025161663,0.025967881,0.026092,0.030395104,0.03087908,0.027663246,0.024302993,0.026590668,0.02762836,0.0260981,0.024429949,0.022153886,0.022939028,0.02495173,0.018191557,0.02300515,0.024398122,0.026432911,0.02740417,0.027444134,0.024090338,0.025007894,0.021713138,0.02188895,0.023958387,0.025196439,0.020719094,0.024326194,0.023634164,0.026194327,0.027073557,0.023925157,0.023355804,0.022050157,0.022403661,0.024392607,0.026315557,0.026315557,0.018905163,0.019126564,0.022529576,0.023228792,0.023000062,0.022732379,0.02212538,0.024731379,0.023365349,0.024349188,0.02559569,0.02559569
58,2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2014-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2014-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2014-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2014-03-18,,,,,,0.3008705,0.37130675,0.5227731,0.53470397,0.5352704,,0.55786866,0.5017413,,,,,0.36417502,0.3391648,0.4037549,0.4610063,0.5476547,,0.57518893,0.5424976,0.5340842,,,0.5594984,0.4888008,0.35302195,0.34546375,0.42744103,0.5330331,,,0.57158697,0.51817495,,,,,0.43373346,0.41040337,0.48489565,0.49207836,0.5309329,,0.4846709,0.45629883,,,,0.42533898,0.45789897,0.4928997,,,,,0.3356777,0.34482148,0.36191702,0.36542046,0.42998898,0.38316983,0.4658719,,,,,,0.35694197,0.29974422,0.3410647,0.34864163,0.32475898,0.29770514,0.42516145,0.4589319,,,,,0.3563754,0.32045102,0.40997982,0.28567582,0.28698564,0.27949646,0.37500247,0.44926944,,,0.56108934,,0.48617846,0.47522828,,0.5102157,0.39118633,0.38723037,0.4124333,0.48321515,,0.5461972,0.5181046,0.5181046,,,,,0.59464264,0.36477584,0.36785156,0.5350515,0.5247584,0.5203592,0.526933,0.526933
64,2014-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2014-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2014-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2014-04-22,,,,,0.62410355,0.62905186,,,,,,,,,,0.7169155,0.6299964,0.61080265,0.6774696,,0.6844729,,,,,,,0.7410606,0.6925948,0.7094662,0.6985949,,,,,0.76939756,,,,,0.74873805,,,,0.5972597,,,,,,0.75961214,,0.6825492,,,,0.57608706,0.5769132,0.64996207,0.74893963,,,,0.6427394,0.63418895,,,,0.6103813,0.6058503,0.6862915,0.5701638,,,,0.66898847,0.6865455,,,,0.7099991,,0.7839396,0.58876014,,,,,,,,,,,,0.75128186,,,,,,,,,,,,,0.6939799,,,,,,,,,,0.72202253,0.72202253
69,2014-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2014-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12391601,0.12442448,,,,,,,,,,,0.1277241,0.12576994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2014-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2014-05-20,0.8619958,0.85046625,0.8565168,0.8620967,,,0.84644413,0.85409486,0.83264154,0.8293841,0.86532295,0.87907815,,,0.8708197,0.87208366,,,0.8545798,0.8125569,0.8033727,0.85647106,0.8657653,0.8729896,,,0.87120575,0.866534,,,,0.8497064,0.6874291,0.8537994,0.8712764,0.8636699,,0.87720484,0.8702361,0.85178274,0.86866456,,,0.86447805,0.66714734,0.73528355,0.8185393,0.8624803,,,0.87855,0.86929363,,,0.9031333,0.8269099,0.65551287,0.567958,0.6933065,0.8617715,,,,,,,0.89905983,0.85578746,0.6044146,0.6177721,0.7503474,0.85752666,0.8825494,,,,,,0.89085114,0.8622456,0.7802514,0.81520545,0.85955036,0.86621594,0.86529183,0.87441003,0.8853494,,0.89103293,,0.88768506,0.8847431,0.8829266,0.88031304,0.8788989,0.8691611,0.8659376,0.8738874,0.8755869,0.8856578,0.8880991,0.8897082,0.8879483,0.8927165,0.8935965,0.88919723,0.87425774,0.87425774,0.83368003,0.8485219,0.8645759,0.8659534,0.86357504,0.87287724,0.88562614,0.88541025,0.88161486,0.8803734,0.8727336,0.8727336
73,2014-05-27,0.8619958,0.85046625,0.8565168,0.8620967,0.85281616,0.8426287,0.84644413,0.85409486,0.83264154,0.8293841,0.86532295,0.87907815,0.83001435,0.8410247,0.8708197,0.87208366,0.8585775,0.8404794,0.8545798,0.8125569,0.8033727,0.85647106,0.8657653,0.8729896,0.870811,0.86897916,0.87120575,0.866534,0.8658377,0.85460156,0.87219083,0.8497064,0.6874291,0.8537994,0.8712764,0.8636699,0.88550544,0.87720484,0.8702361,0.85178274,0.86866456,0.8768222,0.8819146,0.86447805,0.66714734,0.73528355,0.8185393,0.8624803,0.8880853,0.88366085,0.87855,0.86929363,0.8701709,0.880465,0.9031333,0.8269099,0.65551287,0.567958,0.6933065,0.8617715,0.8859458,0.8928347,0.89131635,,,0.8980056,0.89905983,0.85578746,0.6044146,0.6177721,0.7503474,0.85752666,0.8825494,0.8962928,0.89472324,,,0.9003116,0.89085114,0.8622456,0.7802514,0.81520545,0.85955036,0.86621594,0.86529183,0.87441003,0.8853494,0.8894541,0.89103293,0.89706546,0.88768506,0.8847431,0.8829266,0.88031304,0.8788989,0.8691611,0.8659376,0.8738874,0.8755869,0.8856578,0.8880991,0.8897082,0.8879483,0.8927165,0.8935965,0.88919723,0.87425774,0.87425774,0.83368003,0.8485219,0.8645759,0.8659534,0.86357504,0.87287724,0.88562614,0.88541025,0.88161486,0.8803734,0.8727336,0.8727336
74,2014-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2014-06-10,0.8733404,0.8478077,0.84294266,0.8729955,0.8522124,0.83985287,0.85594785,0.86908376,0.82370347,0.7990084,0.8421771,0.88107044,0.8129023,0.8402216,0.87455195,0.86961573,0.86215246,0.85061526,0.86159366,0.78406876,0.77228206,0.8292242,0.82389027,0.8536497,0.8719385,0.8701239,0.87199295,0.8701851,0.86525136,0.8505576,0.8774795,0.8492637,0.68070245,0.8317969,0.8448668,0.8274362,0.8710678,0.87187284,0.87402683,0.85333437,0.8644818,0.8609702,0.87705636,0.8564871,0.6363979,0.7357179,0.7994574,0.8506441,0.874859,0.8764195,0.87750494,0.8688931,0.86559033,0.8731114,0.890369,0.8064897,0.6040231,0.5116663,0.6946832,0.8498053,0.8817367,0.891698,0.8897682,0.89324695,0.88814455,0.8896207,0.8934056,0.8474833,0.5595443,0.59072924,0.70611984,0.8702011,0.89118254,0.89623356,0.89381504,0.8954303,0.8970939,0.8927528,0.88926274,0.8633045,0.7742762,0.8103352,0.8794464,0.8845654,0.88880825,0.8911369,0.892362,0.8950196,0.8924388,0.8897079,0.88644284,0.8837181,0.8830425,0.88786393,0.8868599,0.8889101,0.8972643,0.89314693,0.89356434,0.89295685,0.89119285,0.88899046,0.88744044,0.88799393,0.88984686,0.8918805,0.88811123,0.88811123,0.89219517,0.89043194,0.89234155,0.8921472,0.89134073,0.8877088,0.8863375,0.88766617,0.89041734,0.8901113,0.8870226,0.8870226
76,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2014-06-24,0.89004827,0.88137573,0.87426883,0.90026647,0.8830277,0.86073864,0.8881567,0.8979007,0.84117687,0.82718915,0.86148643,0.9070471,0.8429084,0.8385145,0.899474,0.8986484,0.8860673,0.87867665,0.8942895,0.8310171,0.79943347,0.85454035,0.8547497,0.87841374,0.88633835,0.89755374,0.8992908,0.89329785,0.89576733,0.8780512,0.8983504,0.855258,0.69728285,0.85536546,0.865679,0.8577849,0.90422934,0.90348864,0.9031508,0.8803148,0.8936355,0.8957602,0.9045366,0.88621944,0.62734544,0.71989006,0.8149707,0.8705155,0.90135705,0.90476775,0.90719867,0.8958159,0.89324075,0.89157706,0.91668993,0.85361093,0.6176347,0.5457819,0.7007776,0.8851706,0.90751296,0.915043,0.9187922,0.91458875,0.9138644,0.91583955,0.9311813,0.853162,0.5788279,0.60415787,0.770266,0.90012556,0.91310674,0.92026514,0.921878,0.920601,0.91941273,0.9174909,0.9120405,0.89818054,0.76794034,0.85388696,0.9033063,0.91368735,0.9137349,0.9170743,0.92023575,0.9199284,0.91478175,0.91710275,0.9120057,0.9104243,0.9114811,0.91299355,0.91604674,0.9151896,0.92199403,0.92176384,0.92011416,0.918335,0.91889507,0.9160685,0.9133862,0.91459227,0.9164934,0.9161824,0.9163226,0.9163226,0.91443455,0.91466916,0.91651845,0.91741115,0.916612,0.9141202,0.9138847,0.9160027,0.91434646,0.9169279,0.9162118,0.9162118
78,2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2014-07-08,0.7695679,0.7492008,0.6821745,0.5373935,0.38477805,0.4515757,0.79307,0.63355917,0.53675455,0.71931934,0.82829356,0.83706695,0.48164555,0.5536772,0.48746344,0.36718524,,0.34884346,0.7935749,,0.671135,0.7157557,0.79741406,0.8007709,,0.55679905,0.5620758,0.5117317,,0.34861553,0.6336174,,0.8537261,0.7086806,0.8023013,0.81933707,,0.39155713,0.62778074,0.66027015,,,0.5340537,0.933819,0.7797282,0.706125,0.8446685,0.7976597,,,0.45400268,0.5135597,,,,0.6083385,0.7159521,0.6696645,0.7574003,0.8372079,,,,,,,,0.47994685,,,,1.0,,,,,,,,0.5305748,0.7588723,1.0,1.0,0.7829508,,,,,,,0.4320694,0.46765265,0.3761662,0.7634712,1.0,0.56255573,,,,,,,0.41206348,0.41348356,,,0.52274287,0.52274287,,,,,,,,0.42802316,,,,
80,2014-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2014-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2014-07-29,0.6248265,0.5707964,0.47217187,0.49244103,0.5106416,0.5598056,0.5650636,0.62021965,0.644961,0.6280841,0.6292973,0.7318012,0.58699715,0.5914293,0.49540988,0.48743084,0.4880841,0.4874146,0.51864135,0.5088039,0.48917103,0.511792,0.5397861,0.689284,0.6534654,0.6286521,0.5444914,0.5234175,0.4866075,0.45340875,0.49407318,0.4530615,0.43444195,0.48431557,0.5684421,0.7213873,0.7060357,0.6309082,0.60134345,0.5768923,0.5964017,0.5607667,0.63254344,0.60887545,0.55894536,0.6223237,0.82089806,0.80137813,0.74524164,0.6164921,0.60265064,0.60902077,0.65117073,0.6789972,0.7584016,0.6963172,0.6494906,0.6287098,0.7244647,0.77718586,0.7344605,0.6717798,0.60627854,0.59837115,0.67866814,0.73324114,0.8047859,0.76257956,0.6349156,0.66826713,0.7016606,0.74182916,0.6852927,0.667618,0.6473366,0.57653236,0.661964,0.8044298,0.84116817,0.78529125,0.7756167,0.80975825,0.7892612,0.75156474,0.66379505,0.66010356,0.6393209,0.57518214,0.67692405,0.79928327,0.81764716,0.7659787,0.78041804,0.82405335,0.78425246,0.77707857,0.6959081,0.71312654,0.63346016,0.6144293,0.6568482,0.74126774,0.78048706,0.7064427,0.6915417,0.72949505,0.7576212,0.7576212,0.6051684,0.6224753,0.64510036,0.6275743,0.65027356,0.75337565,0.76016426,0.7154498,0.6619148,0.67102945,0.75815284,0.75815284
83,2014-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2014-08-12,0.8720859,0.845655,0.827032,0.87476647,0.85415477,0.84503794,0.88060904,0.8812856,0.8201544,0.7949833,0.8321967,0.8833733,0.8142253,0.8241198,0.8771548,0.8661205,0.861474,0.8550775,0.8681289,0.77438396,0.7500086,0.806802,0.7847828,0.8276718,0.8690082,0.86427325,0.8682774,0.86817014,0.86447823,0.85765857,0.8776058,0.8321466,0.73477346,0.8294725,0.840174,0.8143848,0.87099713,0.86941445,0.87078995,0.8533145,0.86396325,0.8601768,0.87646884,0.85892695,0.72195655,0.77347654,0.8239275,0.8533064,0.8731471,0.87415475,0.879516,0.8709774,0.8706033,0.8792045,0.88922495,0.82028973,0.6843746,0.6548558,0.7561929,0.8627062,0.8804456,0.889764,0.8924224,0.8937681,0.89191514,0.89264023,0.9001505,0.850426,0.6794985,0.71852744,0.7794425,0.87962115,0.89291626,0.8976047,0.89727384,0.89882326,0.8988093,0.8921143,0.8915356,0.8728527,0.7981109,0.85511917,0.8854627,0.887046,0.8918179,0.8955049,0.8971039,0.8991426,0.891082,0.89040416,0.88709825,0.8869954,0.88449824,0.8886106,0.88647497,0.8856289,0.90039706,0.89665264,0.89597154,0.8950136,0.89151067,0.89023703,0.8879277,0.8844644,0.88577855,0.8875819,0.8866314,0.8866314,0.8921486,0.89294136,0.8920736,0.88761526,0.8884906,0.88765466,0.888834,0.88570106,0.88525444,0.8881096,0.88952225,0.88952225
85,2014-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2014-08-26,,0.34067246,0.35166413,0.3553939,0.33262196,0.35774612,,,,,,,,0.32159978,0.3440878,0.35046244,0.3619426,0.35585055,,,,,0.31091774,,0.29190218,0.3149563,0.32595384,0.34761718,0.353103,0.34368297,,,,,,,0.30099842,0.3310152,0.32186043,0.35902247,0.34413916,0.3387524,,,0.2783893,0.36216247,,,0.30676225,0.31945434,0.31262097,0.33469614,0.32559,0.35877702,0.36098734,0.3258703,0.3158947,0.3346459,,,0.30068433,0.29899278,0.2972408,0.31120324,0.3190697,0.34121692,0.32675484,,0.31553116,0.3019542,,,0.29031515,0.30092993,0.32545817,0.34044793,0.33550206,0.32238898,,0.3119596,0.29910433,,,,0.2977504,0.28219178,0.29952523,0.30630404,0.32814792,0.322396,0.31904975,,,,,,0.3068516,0.28812933,0.32496798,0.3574162,0.32152867,0.30494106,,,0.29808807,,,,0.28504622,0.29706034,0.2910452,0.32106063,0.3190682,0.30261356,,,0.3024591,,,
87,2014-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2014-09-09,0.82797426,0.82537216,0.81509084,0.81681156,0.8332811,0.82168275,0.85092497,0.84264135,0.81307966,0.80533415,0.79731226,0.8399605,0.7852189,,0.80840176,0.82548827,0.8302371,0.8114928,0.8487686,0.7873106,0.74036723,0.8136961,0.76667315,0.8087016,,0.8131939,0.8257149,0.835064,0.83328223,0.8305642,0.8440147,0.80908686,0.7608662,0.81228626,0.81669575,0.79799765,0.82028556,0.8221551,0.8219867,0.82378745,0.8227993,0.8381923,0.847266,0.82802254,0.7689567,0.78784394,0.81773746,0.82880366,0.81864506,0.84213436,0.8331971,0.8385145,0.8367289,0.84478235,0.85374665,0.8231245,0.76595855,0.7391997,0.7921072,0.85716164,0.8471789,0.85831994,0.85470027,0.86069167,0.8575771,0.8613079,0.8630228,0.8363466,0.762513,0.758784,0.81898713,0.8482975,0.8668623,0.8711715,0.867617,0.86759186,0.8655722,0.85729223,0.85275155,0.84493047,0.81298953,0.82878405,0.85483396,0.85111856,0.8623408,0.86107785,0.8674996,0.8680932,0.85972756,0.8516035,0.8513669,0.8468516,0.84502983,0.84014523,0.85695386,0.851962,0.8645854,0.85994637,0.8585079,0.8632102,0.85580707,0.85391307,0.85360503,0.85081,0.8535196,0.85101867,0.8563563,0.8563563,,0.8578717,0.85885054,0.8562437,0.85209256,0.8523686,0.859079,0.8531906,0.85775363,0.85625523,0.8545573,0.8545573
89,2014-09-16,0.82797426,0.82537216,,0.81681156,0.8332811,0.82168275,0.85092497,0.84264135,0.81307966,0.80533415,0.79731226,0.8399605,0.7852189,,0.80840176,0.82548827,,0.8114928,0.8487686,0.7873106,0.74036723,0.8136961,0.76667315,0.8087016,,,0.8257149,0.835064,0.83328223,0.8305642,0.8440147,0.80908686,0.7608662,0.81228626,0.81669575,0.79799765,,0.8221551,0.8219867,0.82378745,0.8227993,0.8381923,0.847266,0.82802254,0.7689567,0.78784394,0.81773746,0.82880366,0.81864506,,0.8331971,,,0.84478235,0.85374665,0.8231245,0.76595855,0.7391997,0.7921072,0.85716164,,,0.85470027,,,0.8613079,0.8630228,0.8363466,0.762513,0.758784,0.81898713,0.8482975,,0.8711715,0.867617,,,0.85729223,0.85275155,0.84493047,0.81298953,0.82878405,0.85483396,0.85111856,,0.86107785,0.8674996,,0.85972756,0.8516035,0.8513669,0.8468516,0.84502983,0.84014523,0.85695386,0.851962,0.8645854,0.85994637,0.8585079,0.8632102,0.85580707,0.85391307,0.85360503,0.85081,0.8535196,0.85101867,0.8563563,0.8563563,,0.8578717,,0.8562437,0.85209256,0.8523686,0.859079,0.8531906,0.85775363,0.85625523,0.8545573,0.8545573
90,2014-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2014-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2014-10-14,,0.36461875,0.2718418,0.35347873,0.4826578,0.7736815,0.8018626,0.85576427,,,0.61830777,0.26035526,0.72491014,0.25731176,,0.23184021,0.3218646,,,0.80075455,,0.9073605,0.44861817,0.23547442,0.2611801,,,0.20478106,0.34566826,0.7577895,0.85689974,0.4724636,0.4916305,0.5495818,0.38094473,,,,,0.22587298,0.34545428,0.52335864,0.3631151,0.25734648,0.2921723,0.38788435,0.5296878,0.5015775,,,0.19081074,0.2277727,0.24883194,0.25419956,,0.19449095,0.21439344,0.32545805,0.43785793,0.6404714,,,,,0.19850177,0.22271112,,,0.22142683,0.327248,0.48947972,0.71659744,,,,,0.19717093,0.2180472,0.22725733,0.23940635,0.33038768,0.42553902,0.6201472,0.83969796,0.19622791,0.19125487,,,,,0.22997192,0.3064972,0.491897,0.4937843,0.52517796,0.5823627,,0.23596568,0.23560235,0.21090697,0.20579173,0.22071475,0.2615111,0.32643458,0.47506523,0.5388451,0.6036473,0.6036473,0.19946423,0.25609916,0.22127904,0.19059527,0.21044219,0.23846653,0.25680178,0.28074175,0.34397694,0.48448017,0.49551213,0.49551213
94,2014-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2014-10-28,0.79769874,,,,,,,,,,,,0.7282171,0.60492474,,,,,,,,,,,0.62375706,,,,,,,,,,,,0.7016084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7995846,,,,,0.7821027,,,0.7693675,0.80531293,,,,0.81022966,,0.7968504,0.81341594,0.76661587,,,,0.8202267,,,,,0.7993994,,0.7863384,0.770527,,,,,,0.80056053,0.80056053
96,2014-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2014-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2014-11-18,0.5661175,0.5669705,0.46395177,0.46635944,0.43036613,0.6102038,0.6576366,0.6815089,0.43598738,0.5675231,0.64176536,,0.49313483,0.40450284,0.43348575,0.5276455,0.4693705,0.63870966,0.63850874,0.5580175,0.5042047,0.6283113,0.63058776,0.54562026,0.4673524,0.5568006,0.547595,0.5322054,0.5872972,0.6118447,0.6068771,0.6074101,0.62273437,0.65623295,0.6385412,0.60183704,0.5880503,0.548426,0.5944674,0.5153566,0.6143946,0.60344607,0.62925214,0.5893814,0.67500854,0.64374095,0.6207846,0.5376429,,0.67130286,0.658847,0.57158005,0.5531309,0.5973833,0.64721113,0.5645582,0.6794409,0.5562846,0.57934684,0.5819076,0.61354584,0.6515482,0.68915665,0.6399107,0.5412071,0.6216023,0.64647824,0.6531819,0.6282249,0.57206535,0.55710274,0.51756287,0.6344386,0.6608387,0.62215745,0.6408563,0.5539065,0.57894737,0.61344725,0.58819914,0.59120095,0.6214327,0.57336926,0.5776935,0.5721898,0.69988966,0.60498774,0.6501182,0.5629973,0.5954636,0.61982524,0.61158967,0.61670476,0.598687,0.5772289,0.5205047,0.6750382,0.6263596,0.6081416,0.5912395,0.5869386,0.58465755,0.5734111,0.6192317,0.5893689,0.57401246,0.5869635,0.5869635,0.511294,0.5203679,0.52581644,0.5701189,0.5174507,0.6009553,0.55185497,0.57122886,0.5523404,0.54297394,0.5292174,0.5292174
99,2014-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2014-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2014-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2014-12-16,,,0.48894224,0.35040197,0.22290957,0.26308522,0.37931034,0.41086954,,,0.46276757,0.18567052,,,,0.4967679,0.254253,0.22875094,0.29103175,0.49680975,,,,0.30006003,,,,0.39743358,0.27905327,0.2965736,0.22925511,0.3632354,0.41909316,0.5918097,0.35856995,0.19424681,,,,0.3165871,,,0.42821524,0.22406064,0.27836627,0.317071,0.17477897,0.14764753,,,,,,,,0.21129757,0.3702986,0.5143267,0.23451273,0.35053343,,,,,,,,,,,0.40554756,0.5026269,,,,,,,,,,,,0.33571208,,,,,,,,,,0.35087433,0.2764169,0.18355502,,,,,,,,,,,0.58681345,0.58681345,,,,,,,,,,,,
103,2014-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
