,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
40,2013-10-08,0.035575323,0.040827196,0.037551086,0.036244374,0.034743045,0.034385454,0.03500192,0.036631927,0.038313866,0.03157091,0.029997054,0.02340408,0.02481924,0.027547494,0.02924734,0.03599933,0.037460513,0.036304913,0.03225149,0.031157447,0.031279076,0.033180125,0.03433777,0.03336887,0.02522501,0.023871144,0.02206456,0.020285092,0.023312313,0.024004888,0.037802648,0.037155908,0.03281295,0.029472964,0.032402616,0.030016514,0.03239269,0.036617197,0.0338269,0.029031746,0.026844205,0.025368946,0.020168386,0.019093098,0.024394378,0.035081804,0.03817769,0.03300561,0.0309646,0.03415439,0.032056484,0.031713087,0.034632105,0.03802636,0.03698801,0.030986322,0.024774855,0.021516636,0.022080608,0.022402793,0.037428007,0.036493756,0.037108995,0.036846597,0.036002282,0.03468632,0.03343156,0.034118503,0.035929095,0.04017482,0.0356746,0.02736601,0.023471544,0.02521622,0.021989394,0.04221927,0.038339406,0.03450212,0.033262875,0.034978926,0.035003137,0.032877244,0.029588226,0.027202167,0.03326851,0.031137265,0.02965066,0.027132168,0.030007815,0.026561989,0.048110403,0.03875807,0.034531716,0.034072872,0.03437553,0.035785925,0.036125258,0.033989318,0.026908077,0.025832297,0.029839305,0.032747507,0.0311185,0.032844342,0.03175147,0.05879256,0.048433278,0.045200445,0.043232705,0.039598174,0.03879052,0.03722758,0.033394612,0.029658904,0.024941215,0.02937319,0.03220184,0.034349788,0.032811433,0.031962875,0.056586165,0.05494318,0.050014444,0.04314305,0.038651202,0.037734415,0.03955349,0.031516228,0.031133538,0.026061658,0.027363114,0.030800149,0.032503657,0.03554471,0.036966782,0.048784252,0.049379203,0.04298992,0.03906024,0.032926466,0.031159138,0.03447245,0.036380637,0.036454502,0.031416927,0.029550862,0.028689427,0.028359463,0.030384216,0.034179676,0.045392144,0.042003963,0.035054933,0.033535272,0.03248864,0.02867833,0.03223019,0.036816165,0.041060727,0.04241911,0.035080735,0.030967548,0.028964667,0.027759261,0.029019352
41,2013-10-15,0.035575323,0.040827196,0.037551086,0.036244374,0.034743045,0.034385454,0.03500192,0.036631927,0.038313866,0.03157091,0.029997054,0.02340408,0.02481924,0.027547494,0.02924734,0.03599933,0.037460513,0.036304913,0.03225149,0.031157447,0.031279076,0.033180125,0.03433777,0.03336887,0.02522501,0.023871144,0.02206456,0.020285092,0.023312313,0.024004888,0.037802648,0.037155908,0.03281295,0.029472964,0.032402616,0.030016514,0.03239269,0.036617197,0.0338269,0.029031746,0.026844205,0.025368946,0.020168386,0.019093098,0.024394378,0.035081804,0.03817769,0.03300561,0.0309646,0.03415439,0.032056484,0.031713087,0.034632105,0.03802636,0.03698801,0.030986322,0.024774855,0.021516636,0.022080608,0.022402793,0.037428007,0.036493756,0.037108995,0.036846597,0.036002282,0.03468632,0.03343156,0.034118503,0.035929095,0.04017482,0.0356746,0.02736601,0.023471544,0.02521622,0.021989394,0.04221927,0.038339406,0.03450212,0.033262875,0.034978926,0.035003137,0.032877244,0.029588226,0.027202167,0.03326851,0.031137265,0.02965066,0.027132168,0.030007815,0.026561989,0.048110403,0.03875807,0.034531716,0.034072872,0.03437553,0.035785925,0.036125258,0.033989318,0.026908077,0.025832297,0.029839305,0.032747507,0.0311185,0.032844342,0.03175147,0.05879256,0.048433278,0.045200445,0.043232705,0.039598174,0.03879052,0.03722758,0.033394612,0.029658904,0.024941215,0.02937319,0.03220184,0.034349788,0.032811433,0.031962875,0.056586165,0.05494318,0.050014444,0.04314305,0.038651202,0.037734415,0.03955349,0.031516228,0.031133538,0.026061658,0.027363114,0.030800149,0.032503657,0.03554471,0.036966782,0.048784252,0.049379203,0.04298992,0.03906024,0.032926466,0.031159138,0.03447245,0.036380637,0.036454502,0.031416927,0.029550862,0.028689427,0.028359463,0.030384216,0.034179676,0.045392144,0.042003963,0.035054933,0.033535272,0.03248864,0.02867833,0.03223019,0.036816165,0.041060727,0.04241911,0.035080735,0.030967548,0.028964667,0.027759261,0.029019352
42,2013-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2013-10-29,0.09640607,0.09920515,0.09838769,0.09608645,0.097468436,0.08824234,0.1539408,0.25297716,0.27727082,0.5135667,,0.4567714,0.3754977,0.4843761,0.57713544,0.07133216,0.06419824,0.061941423,0.05499002,0.0639697,0.076105244,0.15069047,0.26540813,0.3269379,0.5461633,,0.46252126,0.46157184,0.56446433,,0.044419736,0.037992794,0.040289707,0.045251247,0.058958486,0.08299507,0.16030988,0.21853542,0.2729644,0.47157794,0.5845203,0.51494306,0.52205664,0.52543175,0.56020164,0.044891223,0.05118275,0.05944991,0.077321894,0.09046076,0.10730766,0.17184539,0.18817858,0.21278363,0.4235751,,,0.50323313,0.48941967,,0.06601983,0.06832342,0.09599345,0.13626966,0.14818348,0.16585164,0.20837925,0.19575399,0.2332444,0.34888095,0.5505886,0.548168,0.46255207,0.43850428,,0.06708773,0.08856063,0.13436468,0.17029038,0.15503094,0.17272031,0.22306475,0.25027582,0.31907907,0.38925087,0.48437688,,0.5736236,0.44635686,0.54853606,0.07688319,0.09127969,0.12337385,0.14178048,0.14209734,0.15045106,0.16452032,0.21759005,0.30197045,0.39298916,0.4637939,0.5529724,0.5374702,0.5180772,0.5958461,0.08829906,0.08134456,0.088158414,0.082638316,0.10221518,0.123754404,0.13003847,0.15503818,0.2090682,0.27819544,0.41109297,0.47073033,,,,0.097166464,0.07064442,0.06549239,0.07522945,0.09004179,0.09502053,0.11725462,0.16849996,0.20229135,0.24402836,0.34054178,0.42560834,,,,0.10055833,0.07742127,0.066305496,0.08914194,0.09967812,0.100439765,0.12513304,0.15848134,0.19864716,0.27001935,0.29634765,0.3143573,0.42449436,,,0.11524676,0.08903485,0.095872015,0.10094014,0.10611746,0.15961285,0.16250134,0.16021031,0.19593419,0.23845945,0.29394284,0.2988501,0.28065988,0.32894975,0.49762234
44,2013-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2013-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2013-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2013-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2013-12-17,0.42903876,,,0.5284107,0.4886932,0.46142143,0.47566867,0.44706333,0.43988758,0.46287128,0.4415493,0.501535,,0.47398376,,,,,,0.44532993,0.41162923,,0.39125365,,0.47488752,0.44944078,0.5229242,0.50873333,0.5413048,,,,,0.4442846,0.43510342,0.42102712,0.41566566,0.40495038,,0.4622913,0.49049258,0.5219149,0.5339568,0.5458837,0.4738937,,,0.4769049,0.47165698,0.4456175,0.46791637,0.44543403,,,,,0.47627875,0.48929563,0.4528519,0.44551355,,0.5051707,0.4502624,0.4429876,0.4580747,0.43670413,0.4249921,,,,,0.49304113,0.49906626,0.49718907,0.4524857,,,0.43012404,0.45611343,0.43743697,0.45468426,0.472614,0.4783667,0.4801164,,,0.49725696,0.5197594,0.47544837,0.50194395,0.48449054,0.47814757,0.42753452,0.46334243,0.4936819,,,,0.49193284,0.5192827,0.50869656,0.5259364,0.5619586,0.5112964,0.51138884,0.4630202,0.47678423,,,,,,,,0.5330508,0.49857083,0.5536105,0.53120404,0.5155904,0.52551574,0.48749566,0.45694023,,,,,,,,0.4452622,0.5055636,0.5460697,0.51151013,,0.50741684,,,,,,,,,0.43923408,0.451288,0.49546123,,,,0.52972394,,,,,,,,,,,0.44834957,0.4907353,,,
51,2013-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009760202,,,,,,,,,,,,,,,0.015402908,,,,,,,,,,,0.005969364,0.0011047431,0.00056118646,0.003832672,0.026709285,,,,,,,,,,,,,0.00010163941,0.012561206,0.024418285,,,,,,,,,,,,,,0.007728795,0.030572558,,,,,,,,,,0.010168241,0.008445288,0.0037847026,0.00018147529,0.008440057,0.02311502,,,,,,,,,,0.014372573,0.021411981,0.013666667,0.008168399,0.009216076,0.010301628,,,,,,,,,,0.0091002425,0.015564005,0.012641855,0.005040366,,,,,,,,,0.0012590716,,,0.0016510037,,,,,
53,2014-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2014-01-14,0.15953988,0.1665321,0.18768889,0.18756412,0.17756438,0.17752762,0.16978888,0.16279468,0.15327725,0.14620392,0.1475101,0.14788263,0.14307033,0.13887466,0.12447735,0.15921615,0.17781715,0.18883643,0.18937126,0.17223884,0.16607425,0.16874903,0.1552967,0.14519165,0.14148496,0.15462859,0.15189797,0.15420541,0.14545976,0.12075236,0.17245595,0.18456359,0.1829852,0.1702789,0.16416305,0.1592601,0.14380367,0.1364317,0.14238112,0.14958465,0.16008434,0.157466,0.15261887,0.14540903,0.13136119,0.18410869,0.1782683,0.17148063,0.16395576,0.15590484,0.15142278,0.14450964,0.13516296,0.14433801,0.16025057,0.1642142,0.15803851,0.14913538,0.15010388,0.12888268,0.17283916,0.1702884,0.16629738,0.16176233,0.15145427,0.14830278,0.15171081,0.14753416,0.15174988,0.15896514,0.15706313,0.15881398,0.15334211,0.11900517,0.12191315,0.17032322,0.16520265,0.16968796,0.16353874,0.15597527,0.15759178,0.16470887,0.15753649,0.1563928,0.16084912,0.16274033,0.15787458,0.15202655,0.11491292,0.11933298,0.16973579,0.16458167,0.16417783,0.16530162,0.1727294,0.17440987,0.17370701,0.16719587,0.1692788,0.16917506,0.16373445,0.15615948,0.14983448,0.118897125,0.117576934,0.18312949,0.1714703,0.16088848,0.15798666,0.16515762,0.16967033,0.1707379,0.17431486,0.17341514,0.17147121,0.17402527,0.16078205,0.15392366,0.12583011,0.11858097,0.17644091,0.16607425,0.1546209,0.15845813,0.1508028,0.15406367,0.1550628,0.15794785,0.17529294,0.18095548,0.17212787,0.16113523,0.13226274,0.12481107,0.12605587,0.15623495,0.1500928,0.15767288,0.15046994,0.14053193,0.14348115,0.15556827,0.16739206,0.17732207,0.17085205,0.15582252,0.15595911,0.1370611,0.13266185,0.13201433,0.14246434,0.1389485,0.13648504,0.13098937,0.13570146,0.1434626,0.15912317,0.1724503,0.16900247,0.15835978,0.15632036,0.1497182,0.13892025,0.13453682,0.131431
55,2014-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2014-01-28,,,,,,,,0.4373378,,,,,,,,0.2174971,0.35607308,0.46939746,0.4602201,0.41590774,0.4207476,0.3971581,0.39687186,,,,,,,,0.18602447,0.3330744,0.48339963,0.46625113,0.44333595,0.36788595,0.3431698,0.3794514,0.35264078,0.34602517,0.48240638,,,,,0.32111445,0.4876281,,,,,,0.37371045,0.32883775,0.29009518,0.34898165,,,,,,,,,,,,0.4119476,0.36531487,0.32075152,0.4218396,,,,,,,,,,,,,,,,,,,,,,,,,0.4707316,0.3662871,,,,,,,,,,,,,0.3922679,0.3196325,0.22565435,0.40503106,,,,,,,,,,,0.4665528,0.33568826,0.31117687,0.17679076,0.2997453,,,,,,,,,,0.46788704,0.35322946,0.32663715,0.3950438,0.21604495,0.3039536,,,,,,,,,0.42695808,0.28827962,0.29068568,0.36269927,0.40931773,0.29870972,0.3239595,0.29881558,0.30178553,0.41931334,,,,
57,2014-02-04,0.49110273,,,,,,,0.4373378,,,,,,,,0.2174971,0.35607308,0.46939746,0.4602201,0.41590774,0.4207476,0.3971581,0.39687186,,,,,,,,0.18602447,0.3330744,0.48339963,0.46625113,0.44333595,0.36788595,0.3431698,0.3794514,0.35264078,0.34602517,0.48240638,,,,,0.32111445,0.4876281,,,,,,0.37371045,0.32883775,0.29009518,0.34898165,,,,,,,,,,,,0.4119476,0.36531487,0.32075152,0.4218396,,,,,,,,,,,,,,,,,,,,,,,,,0.4707316,0.3662871,,,,,,,,,,,,,0.3922679,0.3196325,0.22565435,0.40503106,,,,,,,,,,,0.4665528,0.33568826,0.31117687,0.17679076,0.2997453,,,,,,,,,,0.46788704,0.35322946,0.32663715,0.3950438,0.21604495,0.3039536,,,,,,,,,0.42695808,0.28827962,0.29068568,0.36269927,0.40931773,0.29870972,0.3239595,0.29881558,0.30178553,0.41931334,,,,
58,2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2014-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2014-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2014-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2014-03-18,,,,,,0.0042982185,0.007800093,0.007850574,0.0033116925,,,,,,,,,,,,,0.0035195674,0.006962332,0.011587857,0.0076150377,,,,,0.0029301548,,,,,,,0.00093146507,0.002548126,0.009103739,0.010379951,0.0027205336,,,,0.004707862,,,,,,,,,0.00068744645,0.0023706602,0.001240169,,,0.0005778848,0.0032377795,,,,,,,,,,0.00021959466,,3.4307828e-05,,,0.00020374123,,,,,,,,,,,,0.0003807745,0.00042707848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.739258e-05,,,,,,,,,,,,,,,,,,,0.0008635728,0.002873832,0.0028045697,
64,2014-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2014-04-08,0.0010012778,0.005744014,0.009963029,0.009998431,0.010191553,0.0068734754,,,,0.0045831497,0.0057776254,0.0056076124,0.004653146,0.006415221,0.0070686447,0.0049262154,0.0062302477,0.009386466,0.014819042,0.013107736,0.0050201956,,,0.0,0.0014077815,0.0025830567,0.0021842555,0.001384397,0.0006171665,0.0021682668,0.0073085274,0.0046178265,0.0043447013,0.0075061563,0.0056147664,0.0034628517,,,,,0.00025606417,,,0.00046285373,0.0004646819,,,,0.0011878482,0.00079492474,0.00079472223,,,,,,,,0.0012935576,0.0010125433,,,,,,,0.000100319856,,,,,,,,0.00040325485,,,,,,,0.0015440647,,,,,,0.002742508,0.0012981562,0.0009164623,,,,,,,0.00070504425,,,,,,0.0010549556,0.004777227,0.004378097,,,,,,,0.004122921,,,,,,,0.00414361,0.0048548602,,,,,,0.0011360857,0.0020655952,,,,,,,,0.0020921936,,,,,0.0007085884,0.004949003,0.0021091544,,,,,,,,0.00039797908,0.0012069852,,,0.0014369063,0.0077731567,0.010407137,0.0032492941,,,,,,,,
67,2014-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2014-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2014-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2014-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2014-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2014-05-20,,,0.027235245,0.032099295,0.02774839,,,,,,,,,,,,,,0.0343412,,,,,,,,,,,,,,,,,,,,,,,0.006254591,0.007995881,,,,,,,0.031139676,,,,,,,,,,,,,,,0.021953627,,,,,,,,0.010847491,,,,,,,,0.023060624,,,,,,0.011888252,0.012302276,0.01172646,,,,,,,,,,,0.013275898,,0.015284433,0.016643446,0.016567709,0.018938491,,,,,,,,,,0.013261395,0.01458753,0.018029297,,,0.031087585,,,,,,,,,,,,,,,0.053767364,,,,,,,,,,,,,,,0.09178297,,,,,,,,,,,,,,,0.06432997
73,2014-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053767364,,,,,,,,,,,,,,,0.09178297,,,,,,,,,,,,,,,
74,2014-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2014-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2014-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19838658,,0.19349648,,,,,,,,,,,,0.21233563,0.2162704,0.21058096,0.20987293,0.21024656,0.18948765,0.18136895,0.17088306,,,,,0.19114357,,,,,0.22299558,0.22790532,0.21292925,0.19136362,,,,,,,0.23379211,0.21894011,,,,,,,,,,,,,,0.28718802,0.23098546,,,,,,,,,,,,,
80,2014-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2014-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2014-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2014-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
